dataset_name,model_variant,seed,signal_name,detector_type,params,value_scale,n_gt_drifts,n_detected,MDR,MTD,MTFA,MTR
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",25.0,4,25,0.0,567.0,2404.0,4.239858906525574
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",25.0,4,7,0.0,3671.0,16768.0,4.5676927267774445
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",25.0,4,1,0.75,655.0,,
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",50.0,4,21,0.0,903.0,2924.0,3.238095238095238
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",50.0,4,7,0.0,3671.0,16768.0,4.5676927267774445
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",100.0,4,25,0.0,1495.0,2332.8,1.5604013377926422
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",100.0,4,21,0.0,903.0,2924.0,3.238095238095238
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,4,0.0,2647.0,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,3,0.25,3209.6666666666665,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,3,0.25,2607.0,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,2,0.5,2407.0,,
sine_abrupt4,baseline_student,1,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,2,0.5,2407.0,,
sine_abrupt4,baseline_student,1,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.05}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sine_abrupt4,baseline_student,1,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.1}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sine_abrupt4,baseline_student,1,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.2}",1.0,4,31,0.0,775.0,1853.5384615384614,2.39166253101737
sine_abrupt4,baseline_student,1,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.3}",1.0,4,30,0.0,871.0,1886.72,2.166153846153846
sine_abrupt4,baseline_student,1,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 0.5}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 1.0}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 2.0}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 5.0}",1.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,1,0.75,2287.0,,
sine_abrupt4,baseline_student,1,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,1,0.75,8431.0,,
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",10.0,4,17,0.0,903.0,4006.6666666666665,4.437061646363972
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",10.0,4,10,0.25,3524.3333333333335,4000.0,1.513288565213279
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",10.0,4,3,0.5,423.0,,
