track,dataset,seed,group,run_id,confirm_theta,confirm_window,confirm_cooldown,confirmed_count_total,horizon,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,acc_min_raw,acc_min@2000,post_min@W1000,post_mean@W1000,recovery_time_to_pre90
R,INSECTS_abrupt_balanced,10,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.1676290760869565,0.1676290760869565,0.19758364482701551,0.198415318533812,178.4
R,sea_abrupt4,1,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,151,50000,30.2,320.0,320.0,0.65625,0.73876953125,,,
R,sea_abrupt4,2,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,150,50000,30.0,320.0,320.0,0.546875,0.7045454545454546,,,
R,sea_abrupt4,3,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,150,50000,30.0,320.0,320.0,0.328125,0.7230113636363636,,,
R,sea_abrupt4,4,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,152,50000,30.4,320.0,320.0,0.359375,0.72509765625,,,
R,sea_abrupt4,5,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,152,50000,30.4,320.0,320.0,0.421875,0.759765625,,,
R,INSECTS_abrupt_balanced,1,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.1484375,0.17193161231884058,0.2010502225352479,0.20200576340918294,178.4
R,INSECTS_abrupt_balanced,2,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,38,52847,7.190569001078585,1280.0,1280.0,0.16162817028985507,0.16162817028985507,0.1895203904949402,0.19037235190421486,178.4
R,INSECTS_abrupt_balanced,3,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,37,52847,7.001343501050202,1280.0,1280.0,0.16525135869565216,0.16525135869565216,0.19093413239941845,0.19186547484738678,178.4
R,INSECTS_abrupt_balanced,4,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.16372767857142856,0.16372767857142856,0.18310743119884362,0.1840207128790697,178.4
